timestamp,scenario,node_cpu_cores,node_mem_used_mi,node_mem_capacity_mi,host_mem_total_gb,host_mem_used_gb,host_mem_available_gb
2026-03-20T12:30:05Z,A_idle,341,4093,48173,47.0,3.8,43.3
2026-03-20T12:32:06Z,B_api_10parallel,458,4098,48173,47.0,3.8,43.2
2026-03-20T12:32:22Z,C_clickhouse_query,337,4095,48173,47.0,3.8,43.2
2026-03-20T12:33:11Z,C_clickhouse_query,574,4092,48173,47.0,3.9,43.2
2026-03-20T12:33:43Z,C_clickhouse_query2,561,4099,48173,47.0,3.8,43.2
2026-03-20T12:34:04Z,D_ollama_1,901,4100,48173,47.0,4.5,42.6
2026-03-20T12:36:10Z,D_ollama_3,2216,6303,48173,47.0,6.1,41.0
2026-03-20T12:40:30Z,E_scoring_batch,2086,6366,48173,47.0,6.0,41.1
2026-03-20T12:40:54Z,F_pgvector,2983,6309,48173,47.0,6.0,41.1
2026-03-20T12:42:07Z,G_peak_all,2233,6327,48173,47.0,6.2,40.9
