timestamp,scenario,namespace,pod,cpu_m,mem_mi
2026-03-20T12:31:29Z,A_idle,technomart,backend-85c56fcb97-qxd24,4,89
2026-03-20T12:31:29Z,A_idle,technomart,clickhouse-5dd85bc98f-h2m2h,211,1224
2026-03-20T12:31:29Z,A_idle,technomart,fluent-bit-tv8w5,5,31
2026-03-20T12:31:29Z,A_idle,technomart,frontend-848854954c-74sbq,2,62
2026-03-20T12:31:29Z,A_idle,technomart,kafka-0,44,947
2026-03-20T12:31:29Z,A_idle,technomart,localstack-6964f7c9cf-htcrk,3,258
2026-03-20T12:31:29Z,A_idle,technomart,ollama-85645b85cf-qpgc8,1,57
2026-03-20T12:31:29Z,A_idle,technomart,postgresql-649bfcf864-sfzjv,84,52
2026-03-20T12:31:29Z,A_idle,technomart,redis-758b75cfcd-597km,38,12
2026-03-20T12:31:29Z,A_idle,technomart,registry-686f88bb4d-tw2vj,1,34
2026-03-20T12:32:07Z,B_api_10parallel,technomart,backend-85c56fcb97-qxd24,5,89
2026-03-20T12:32:07Z,B_api_10parallel,technomart,clickhouse-5dd85bc98f-h2m2h,147,1148
2026-03-20T12:32:07Z,B_api_10parallel,technomart,fluent-bit-tv8w5,2,31
2026-03-20T12:32:07Z,B_api_10parallel,technomart,frontend-848854954c-74sbq,2,62
2026-03-20T12:32:07Z,B_api_10parallel,technomart,kafka-0,56,946
2026-03-20T12:32:07Z,B_api_10parallel,technomart,localstack-6964f7c9cf-htcrk,2,258
2026-03-20T12:32:07Z,B_api_10parallel,technomart,ollama-85645b85cf-qpgc8,2,57
2026-03-20T12:32:07Z,B_api_10parallel,technomart,postgresql-649bfcf864-sfzjv,26,52
2026-03-20T12:32:07Z,B_api_10parallel,technomart,redis-758b75cfcd-597km,26,12
2026-03-20T12:32:07Z,B_api_10parallel,technomart,registry-686f88bb4d-tw2vj,1,34
2026-03-20T12:32:24Z,C_clickhouse_query,technomart,backend-85c56fcb97-qxd24,6,89
2026-03-20T12:32:24Z,C_clickhouse_query,technomart,clickhouse-5dd85bc98f-h2m2h,139,1156
2026-03-20T12:32:24Z,C_clickhouse_query,technomart,fluent-bit-tv8w5,2,31
2026-03-20T12:32:24Z,C_clickhouse_query,technomart,frontend-848854954c-74sbq,2,62
2026-03-20T12:32:24Z,C_clickhouse_query,technomart,kafka-0,39,946
